timestamp,hybrid_small_family_semi_automated__baseline_kw,hybrid_small_family_semi_automated__shifted_kw,homeoffice_small_family_semi_automated__baseline_kw,homeoffice_small_family_semi_automated__shifted_kw,office_small_family_semi_automated__baseline_kw,office_small_family_semi_automated__shifted_kw,hybrid_single_semi_automated__baseline_kw,hybrid_single_semi_automated__shifted_kw,hybrid_small_family_time_programmable__baseline_kw,hybrid_small_family_time_programmable__shifted_kw,office_small_family_time_programmable__baseline_kw,office_small_family_time_programmable__shifted_kw,office_small_family_automated__baseline_kw,office_small_family_automated__shifted_kw,office_single_semi_automated__baseline_kw,office_single_semi_automated__shifted_kw,hybrid_small_family_automated__baseline_kw,hybrid_small_family_automated__shifted_kw,hybrid_large_family_semi_automated__baseline_kw,hybrid_large_family_semi_automated__shifted_kw,hybrid_single_automated__baseline_kw,hybrid_single_automated__shifted_kw,hybrid_small_family_manual__baseline_kw,hybrid_small_family_manual__shifted_kw,office_small_family_manual__baseline_kw,office_small_family_manual__shifted_kw,homeoffice_single_semi_automated__baseline_kw,homeoffice_single_semi_automated__shifted_kw,homeoffice_small_family_manual__baseline_kw,homeoffice_small_family_manual__shifted_kw,homeoffice_small_family_time_programmable__baseline_kw,homeoffice_small_family_time_programmable__shifted_kw,hybrid_single_time_programmable__baseline_kw,hybrid_single_time_programmable__shifted_kw,office_large_family_semi_automated__baseline_kw,office_large_family_semi_automated__shifted_kw,office_single_time_programmable__baseline_kw,office_single_time_programmable__shifted_kw,hybrid_single_manual__baseline_kw,hybrid_single_manual__shifted_kw,office_single_manual__baseline_kw,office_single_manual__shifted_kw,office_single_automated__baseline_kw,office_single_automated__shifted_kw,homeoffice_small_family_automated__baseline_kw,homeoffice_small_family_automated__shifted_kw,homeoffice_large_family_semi_automated__baseline_kw,homeoffice_large_family_semi_automated__shifted_kw,hybrid_large_family_automated__baseline_kw,hybrid_large_family_automated__shifted_kw,hybrid_large_family_time_programmable__baseline_kw,hybrid_large_family_time_programmable__shifted_kw,office_large_family_time_programmable__baseline_kw,office_large_family_time_programmable__shifted_kw,homeoffice_single_manual__baseline_kw,homeoffice_single_manual__shifted_kw,homeoffice_single_automated__baseline_kw,homeoffice_single_automated__shifted_kw,office_large_family_automated__baseline_kw,office_large_family_automated__shifted_kw,office_large_family_manual__baseline_kw,office_large_family_manual__shifted_kw,homeoffice_single_time_programmable__baseline_kw,homeoffice_single_time_programmable__shifted_kw,homeoffice_large_family_manual__baseline_kw,homeoffice_large_family_manual__shifted_kw,hybrid_large_family_manual__baseline_kw,hybrid_large_family_manual__shifted_kw,homeoffice_large_family_automated__baseline_kw,homeoffice_large_family_automated__shifted_kw,homeoffice_large_family_time_programmable__baseline_kw,homeoffice_large_family_time_programmable__shifted_kw
2024-01-01 00:00:00,0.05410787373577752,0.07853265249683947,0.05446737012987014,0.07864918831168831,0.0771808673469388,0.0771808673469388,0.0554319099378882,0.07173625776397516,0.06286220906902086,0.06286220906902086,0.061019917582417586,0.07127632783882785,0.052142091836734704,0.10892780612244898,0.03961322463768115,0.03961322463768115,0.04266042582417582,0.07804504120879122,0.12937723214285715,0.12937723214285715,0.03639010989010989,0.03639010989010989,0.03686357142857143,0.06726357142857142,0.040597321428571434,0.07979732142857143,0.11526384839650146,0.11526384839650146,0.07244551749271136,0.10509857871720114,0.04958225683890577,0.05724183130699088,0.0788997564935065,0.09708157467532469,0.06806063122923588,0.06806063122923588,0.018189024390243905,0.07233536585365853,0.08468589743589744,0.08468589743589744,0.025297297297297294,0.03881081081081081,0.04560641891891892,0.04560641891891892,0.02079285714285714,0.06650714285714286,0.05695117187500001,0.07945117187500002,0.05692787388392858,0.06817787388392857,0.1693121921182266,0.3427604679802955,0.03732291666666666,0.10107291666666667,0.013046195652173914,0.04782880434782608,0.12244318181818183,0.12244318181818183,0.032971875,0.032971875,0.07375375939849625,0.07375375939849625,0.024279605263157897,0.024279605263157897,0.0133,0.0133,0.13972916666666668,0.40639583333333335,0.17915,0.17915,0.031179846938775513,0.602608418367347
2024-01-01 00:15:00,0.044952512642225044,0.060085256005056896,0.05630085227272728,0.09266448863636366,0.05831823979591838,0.05831823979591838,0.041168594720496894,0.041168594720496894,0.06177352528089888,0.06177352528089888,0.04163106684981684,0.04804132326007325,0.0455701530612245,0.0812844387755102,0.03866453157349896,0.03866453157349896,0.08396623626373628,0.10396623626373627,0.11572544642857144,0.14697544642857144,0.058607314560439557,0.058607314560439557,0.03705428571428572,0.06145428571428571,0.030968750000000003,0.05096875,0.08875300655976677,0.08875300655976677,0.04898551384839651,0.06939367711370263,0.042446998480243164,0.042446998480243164,0.07033735795454545,0.0817009943181818,0.044989202657807315,0.044989202657807315,0.019048780487804878,0.03660975609756098,0.052942307692307705,0.052942307692307705,0.028243243243243236,0.028243243243243236,0.03635641891891892,0.03635641891891892,0.02620969387755102,0.054781122448979605,0.042591796875,0.06509179687499998,0.046568638392857145,0.04375613839285715,0.15843165024630543,0.2646385467980295,0.036625,0.066625,0.015353260869565219,0.03709239130434782,0.10880681818181817,0.10880681818181817,0.035171875,0.13517187499999997,0.05462030075187969,0.05462030075187969,0.023388157894736843,0.023388157894736843,0.0133,0.0133,0.08569791666666668,0.37736458333333334,0.027750000000000004,0.027750000000000004,0.03181760204081633,0.3711033163265306
2024-01-01 00:30:00,0.03817477876106194,0.06454646017699117,0.05109375000000001,0.12473011363636365,0.05682198129251703,0.06110769557823131,0.040079192546583854,0.040079192546583854,0.06254740168539327,0.06254740168539327,0.03977896062271061,0.04554819139194138,0.04379872448979592,0.05522729591836735,0.036944358178053825,0.036944358178053825,0.08496469780219781,0.0926570054945055,0.10770758928571429,0.12255133928571431,0.05352781593406593,0.09198935439560443,0.03941642857142858,0.058616428571428576,0.02218875,0.03818875,0.05063975947521866,0.05063975947521866,0.02615743440233236,0.04248396501457726,0.02752754559270517,0.02752754559270517,0.04960450487012988,0.04960450487012988,0.04379651162790699,0.04379651162790699,0.018414634146341462,0.027195121951219512,0.051963141025641035,0.051963141025641035,0.029189189189189186,0.029189189189189186,0.027025337837837837,0.027025337837837837,0.07444897959183674,0.09730612244897958,0.04479492187499999,0.056044921874999994,0.09247600446428571,0.03622600446428572,0.13524076354679804,0.14006834975369456,0.03560416666666666,0.06560416666666667,0.01574728260869565,0.01574728260869565,0.07153409090909091,0.07153409090909091,0.034921875,0.159921875,0.051749999999999984,0.051749999999999984,0.030016447368421052,0.030016447368421052,0.008633333333333331,0.008633333333333331,0.08566666666666668,0.35233333333333333,0.032475,0.032475,0.03181760204081633,0.24610331632653065
2024-01-01 00:45:00,0.03467387010113781,0.06520484355246527,0.06297560876623377,0.10874833603896103,0.07634477040816327,0.07444000850340136,0.05433326863354037,0.06085500776397517,0.062264797351524896,0.07406255016051365,0.04852758699633697,0.07160451007326007,0.04107015306122449,0.04821301020408163,0.037191576086956515,0.037191576086956515,0.07209546703296706,0.07209546703296706,0.09834486607142855,0.12451674107142859,0.03770638736263737,0.08578331043956047,0.059578571428571425,0.0995785714285714,0.029825,0.039825000000000006,0.042924107142857146,0.042924107142857146,0.027299562682215745,0.03750364431486881,0.027633928571428577,0.027633928571428577,0.04746256087662339,0.04746256087662339,0.04340116279069768,0.04340116279069768,0.01829268292682927,0.029268292682926828,0.04229166666666667,0.04229166666666667,0.029702702702702696,0.029702702702702696,0.024836148648648648,0.024836148648648648,0.10294132653061223,0.11722704081632652,0.086982421875,0.086982421875,0.1277427455357143,0.07993024553571429,0.071567118226601,0.071567118226601,0.034374999999999996,0.049374999999999995,0.016141304347826086,0.016141304347826086,0.07250000000000001,0.07250000000000001,0.034671875000000005,0.15342187499999999,0.050421052631578936,0.050421052631578936,0.023766447368421054,0.023766447368421054,0.008633333333333331,0.008633333333333331,0.061968749999999996,0.22030208333333334,0.030075000000000008,0.090075,0.03181760204081633,0.03181760204081633
2024-01-01 01:00:00,0.03775645938685209,0.061982123103666256,0.07879809253246754,0.09188900162337661,0.0745309098639456,0.06529281462585035,0.06198990683229816,0.08372903726708077,0.06296293138041735,0.10565956059390048,0.051284798534798524,0.07666941391941393,0.03950542091836735,0.03950542091836735,0.035096920289855074,0.035096920289855074,0.07818598901098904,0.0712629120879121,0.11204506138392856,0.12227943638392856,0.04580254120879122,0.09147561813186812,0.05268928571428571,0.0846892857142857,0.05279375,0.05279375,0.027389212827988334,0.03963411078717201,0.0290634110787172,0.0290634110787172,0.020795022796352588,0.020795022796352588,0.04030844155844157,0.04030844155844157,0.06139534883720932,0.06139534883720932,0.019878048780487805,0.06378048780487804,0.0326201923076923,0.0326201923076923,0.028108108108108102,0.028108108108108102,0.02776858108108108,0.02776858108108108,0.08018877551020408,0.08018877551020408,0.07885742187500001,0.07885742187500001,0.12697823660714286,0.10447823660714285,0.047927955665024634,0.047927955665024634,0.030833333333333334,0.030833333333333334,0.01635869565217391,0.01635869565217391,0.05590909090909091,0.05590909090909091,0.034171875,0.10917187499999999,0.04624999999999999,0.04624999999999999,0.027187500000000003,0.027187500000000003,0.03863333333333333,0.03863333333333333,0.028937499999999998,0.1289375,0.028475000000000007,0.22847500000000004,0.03181760204081633,0.03181760204081633
2024-01-01 01:15:00,0.04496215233881165,0.05956392225031608,0.07208421266233767,0.07085693993506495,0.07625573979591839,0.06049383503401363,0.05020361024844721,0.0675949145962733,0.06703636637239165,0.12467681581059391,0.07753313873626373,0.10984083104395605,0.04551211734693877,0.04551211734693877,0.04073777173913044,0.04073777173913044,0.1116486263736264,0.08395631868131871,0.13281026785714284,0.09874776785714284,0.06248660714285715,0.09133276098901098,0.03490000000000001,0.054900000000000004,0.0478,0.0478,0.020469478862973758,0.06128580539358601,0.03191782069970846,0.07273414723032069,0.013969414893617022,0.013969414893617022,0.03193922483766234,0.03193922483766234,0.054883720930232555,0.06883720930232556,0.01975609756097561,0.057073170731707326,0.03188301282051282,0.03188301282051282,0.027972972972972972,0.027972972972972972,0.025835183397683394,0.025835183397683394,0.05221173469387756,0.05221173469387756,0.053388671875,0.053388671875,0.18777622767857144,0.16527622767857142,0.033599291871921184,0.033599291871921184,0.030208333333333334,0.030208333333333334,0.019619565217391305,0.019619565217391305,0.039090909090909086,0.039090909090909086,0.03075,0.03075,0.04207894736842104,0.04207894736842104,0.027615131578947367,0.027615131578947367,0.12863333333333332,0.12863333333333332,0.028937499999999998,0.028937499999999998,0.026075000000000004,0.18607500000000002,0.03181760204081633,0.03181760204081633
2024-01-01 01:30:00,0.04678251422250317,0.05253472661188371,0.05951156655844155,0.052875202922077924,0.06910982142857144,0.057395535714285725,0.04078144409937887,0.05165100931677019,0.04924357945425362,0.11913121990369178,0.06873111263736265,0.09757726648351649,0.06974075255102043,0.06974075255102043,0.06030978260869565,0.06030978260869565,0.09254635989010991,0.0782386675824176,0.09997684151785713,0.10341434151785713,0.050228365384615385,0.050228365384615385,0.034975000000000006,0.050975,0.033018750000000006,0.033018750000000006,0.021309948979591837,0.06620790816326531,0.033394679300291545,0.08441508746355685,0.013982712765957448,0.013982712765957448,0.03173478084415585,0.03173478084415585,0.0358139534883721,0.08232558139534883,0.01975609756097561,0.03731707317073171,0.026846955128205126,0.026846955128205126,0.024324324324324322,0.024324324324324322,0.023862934362934362,0.023862934362934362,0.044683673469387765,0.044683673469387765,0.053232421875,0.053232421875,0.151591796875,0.140341796875,0.02140855911330049,0.02140855911330049,0.02916666666666667,0.02916666666666667,0.02005434782608696,0.02005434782608696,0.038636363636363635,0.038636363636363635,0.027249999999999996,0.027249999999999996,0.041552631578947355,0.07313157894736842,0.028042763157894737,0.028042763157894737,0.13782083333333334,0.13782083333333334,0.028937499999999998,0.028937499999999998,0.22447500000000004,0.12447500000000003,0.031179846938775513,0.031179846938775513
2024-01-01 01:45:00,0.03666446744627054,0.038876856826801524,0.06041903409090909,0.044055397727272724,0.06088363095238097,0.04716934523809524,0.035408190993788814,0.04410384316770186,0.0629272672552167,0.14152277287319423,0.04288146749084248,0.05672762133699633,0.0828265306122449,0.0828265306122449,0.05632427536231884,0.05632427536231884,0.0540940934065934,0.07378640109890112,0.10645982142857142,0.09997544642857142,0.03482451923076923,0.03482451923076923,0.028925,0.038925,0.03441875,0.03441875,0.022457908163265306,0.08368239795918367,0.034921191690962104,0.08339057944606414,0.013996010638297873,0.013996010638297873,0.0316333198051948,0.0316333198051948,0.03412790697674419,0.07133720930232558,0.02,0.0375609756097561,0.028317307692307694,0.028317307692307694,0.024594594594594593,0.024594594594594593,0.021794401544401546,0.03801061776061776,0.02164285714285714,0.02164285714285714,0.10015624999999999,0.037656249999999995,0.085341796875,0.085341796875,0.02125230911330049,0.02125230911330049,0.028124999999999997,0.028124999999999997,0.017445652173913043,0.043532608695652175,0.035,0.035,0.024,0.054000000000000006,0.04102631578947367,0.1462894736842105,0.028470394736842108,0.028470394736842108,0.16538333333333333,0.16538333333333333,0.05427083333333334,0.024270833333333332,0.279875,0.10987500000000001,0.0305420918367347,0.0305420918367347
2024-01-01 02:00:00,0.027782692003792676,0.03043755926042984,0.06583640422077922,0.05192731331168831,0.06563596938775512,0.05677882653061227,0.037317546583850926,0.042752329192546575,0.06981179775280899,0.14548595505617976,0.03780105311355311,0.04703182234432235,0.06505516581632655,0.08219802295918367,0.04170018115942029,0.0706856884057971,0.06237156593406592,0.07591002747252751,0.11773632812500001,0.10992382812500001,0.036189903846153844,0.036189903846153844,0.022914285714285717,0.06291428571428571,0.03638125,0.03638125,0.02234311224489796,0.07132270408163266,0.04431577988338193,0.0749280247813411,0.012553191489361704,0.012553191489361704,0.0314182224025974,0.0314182224025974,0.0361046511627907,0.05936046511627908,0.018597560975609755,0.027378048780487805,0.028433493589743588,0.028433493589743588,0.02837837837837838,0.02837837837837838,0.019590733590733593,0.07364478764478764,0.013357142857142857,0.013357142857142857,0.104375,0.02625,0.06784179687500001,0.06784179687500001,0.02126847290640394,0.02126847290640394,0.027499999999999997,0.027499999999999997,0.017486413043478262,0.1044429347826087,0.035,0.035,0.027250000000000003,0.12725,0.04076315789473683,0.12497368421052628,0.028898026315789475,0.028898026315789475,0.17625833333333332,0.17625833333333332,0.17427083333333335,0.05427083333333334,0.312075,0.07957500000000002,0.029904336734693875,0.029904336734693875
2024-01-01 02:15:00,0.04279144279393173,0.0542958675726928,0.06619151785714286,0.05964606331168831,0.054474404761904766,0.08571250000000001,0.06309239130434785,0.06309239130434785,0.058709269662921344,0.09354073033707865,0.03344408195970695,0.04575177426739926,0.0510266581632653,0.13674094387755104,0.04270561594202899,0.07893750000000001,0.06521826923076925,0.0750644230769231,0.10503822544642857,0.11050697544642858,0.028978365384615384,0.028978365384615384,0.022803571428571427,0.07280357142857144,0.091825,0.091825,0.020978316326530612,0.05159056122448979,0.07197567419825072,0.07197567419825072,0.01235372340425532,0.01235372340425532,0.031203124999999998,0.07665767045454543,0.05738372093023256,0.07598837209302324,0.01871951219512195,0.01871951219512195,0.02842147435897436,0.02842147435897436,0.026756756756756754,0.026756756756756754,0.021468146718146716,0.06471138996138995,0.013500000000000002,0.013500000000000002,0.16875,0.09453125,0.04487304687500001,0.04487304687500001,0.021130695812807878,0.021130695812807878,0.027083333333333334,0.027083333333333334,0.023043478260869565,0.09260869565217393,0.03477272727272727,0.03477272727272727,0.027250000000000003,0.10725,0.04049999999999999,0.09313157894736843,0.025296052631578952,0.025296052631578952,0.18091666666666667,0.31425000000000003,0.24596875,0.14396875,0.403475,0.07347499999999998,0.02926658163265306,0.02926658163265306
