"Dim1","Dim2","Dim3","Dim4","Val"
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE133","FlexNoConstraints","ev",0.66552323
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE134","FlexNoConstraints","ev",1.428919
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE134","FlexNoConstraints","pv",6.38607734
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE134","NoFlexNoConstraints","pv",6.126478
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE135","FlexNoConstraints","ev",0.50460187
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE135","FlexNoConstraints","pv",2.48449326
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE135","NoFlexNoConstraints","pv",2.422614
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE136","FlexNoConstraints","ev",0.45118743
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE136","FlexNoConstraints","pv",5.10415547
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE136","NoFlexNoConstraints","pv",4.951606
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE137","FlexNoConstraints","ev",0.36050535
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE137","FlexNoConstraints","pv",1.88816604
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE137","NoFlexNoConstraints","pv",1.887376
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE138","FlexNoConstraints","ev",0.30799174
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE138","FlexNoConstraints","pv",3.59697383
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE138","NoFlexNoConstraints","pv",3.462448
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE139","FlexNoConstraints","ev",0.19979686
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE139","FlexNoConstraints","pv",2.50435345
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE139","NoFlexNoConstraints","pv",2.42693
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE13A","FlexNoConstraints","ev",0.40713463
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE13A","FlexNoConstraints","pv",4.46610614
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE13A","NoFlexNoConstraints","pv",4.371294
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE141","FlexNoConstraints","ev",2.25939721
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE141","FlexNoConstraints","pv",3.13176188
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE141","NoFlexNoConstraints","pv",2.939508
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE143","FlexNoConstraints","ev",0.92397104
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE143","FlexNoConstraints","pv",2.51300223
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE143","NoFlexNoConstraints","pv",2.409318
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE145","FlexNoConstraints","ev",2.30640305
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE145","FlexNoConstraints","pv",1.80767434
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE145","NoFlexNoConstraints","pv",1.761662
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE146","FlexNoConstraints","ev",0.03984736
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE146","FlexNoConstraints","pv",8.01697109
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE146","NoFlexNoConstraints","pv",7.747168
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE147","FlexNoConstraints","ev",1.05641891
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE148","FlexNoConstraints","pv",7.6295545
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE148","NoFlexNoConstraints","pv",7.583994
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE149","FlexNoConstraints","ev",0.17690203
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE149","FlexNoConstraints","pv",2.29161353
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE149","NoFlexNoConstraints","pv",2.176222
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE214","FlexNoConstraints","ev",1.17185344
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE214","FlexNoConstraints","pv",4.54103355
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE214","NoFlexNoConstraints","pv",5.391652
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE215","FlexNoConstraints","ev",0.82128865
"expansion_baseEV_basePV_baseFlex_100_2045_neu","DE215","FlexNoConstraints","pv",2.31033041
