label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
Ahlstädt,Ahlstädt,16069001,Ahlstädt,Thüringen,Hildburghausen
Ahnatal,Ahnatal,06633001,Ahnatal,Hessen,Kassel
Ahneby,Ahneby,01059102,Ahneby,Schleswig-Holstein,Schleswig-Flensburg
Ahnsbeck,Ahnsbeck,03351002,Ahnsbeck,Niedersachsen,Celle
Ahnsen,Ahnsen,03257001,Ahnsen,Niedersachsen,Schaumburg
Aholfing,Aholfing,09278112,Aholfing,Bayern,Straubing-Bogen
Aholming,Aholming,09271111,Aholming,Bayern,Deggendorf
"Ahorn (Coburg, Bayern)",Ahorn,09473112,Ahorn,Bayern,Coburg
"Ahorn (Main-Tauber-Kreis, Baden-Württemberg) [08128014]",Ahorn,08128014,Boxberg,Baden-Württemberg,Main-Tauber-Kreis
"Ahorn (Main-Tauber-Kreis, Baden-Württemberg) [08128138]",Ahorn,08128138,Ahorn,Baden-Württemberg,Main-Tauber-Kreis
Ahorntal,Ahorntal,09472111,Ahorntal,Bayern,Bayreuth
Ahrbrück,Ahrbrück,07131002,Ahrbrück,Rheinland-Pfalz,Ahrweiler
"Ahrensburg (Stormarn, Schleswig-Holstein) [01062001]",Ahrensburg,01062001,Ahrensburg,Schleswig-Holstein,Stormarn
"Ahrensburg (Stormarn, Schleswig-Holstein) [01062090]",Ahrensburg,01062090,Ammersbek,Schleswig-Holstein,Stormarn
Ahrensbök,Ahrensbök,01055001,Ahrensbök,Schleswig-Holstein,Ostholstein
Ahrensfelde,Ahrensfelde,12060005,Ahrensfelde,Brandenburg,Barnim
Ahrenshagen-Daskow,Ahrenshagen-Daskow,13073001,Ahrenshagen-Daskow,Mecklenburg-Vorpommern,Vorpommern-Rügen
Ahrenshöft,Ahrenshöft,01054002,Ahrenshöft,Schleswig-Holstein,Nordfriesland
Ahrenviöl,Ahrenviöl,01054003,Ahrenviöl,Schleswig-Holstein,Nordfriesland
Ahrenviölfeld,Ahrenviölfeld,01054004,Ahrenviölfeld,Schleswig-Holstein,Nordfriesland
Aicha,Aicha,09275111,Aicha vorm Wald,Bayern,Passau
Aichach,Aichach,09771113,Aichach,Bayern,Aichach-Friedberg
Aichelberg,Aichelberg,08117002,Aichelberg,Baden-Württemberg,Göppingen
Aichen,Aichen,09774166,Aichen,Bayern,Günzburg
Aichhalden,Aichhalden,08325001,Aichhalden,Baden-Württemberg,Rottweil
Aichstetten,Aichstetten,08436003,Aichstetten,Baden-Württemberg,Ravensburg
"Aichtal (Esslingen, Baden-Württemberg) [08116041]",Aichtal,08116041,Neckartailfingen,Baden-Württemberg,Esslingen
"Aichtal (Esslingen, Baden-Württemberg) [08116081]",Aichtal,08116081,Aichtal,Baden-Württemberg,Esslingen
"Aichwald (Esslingen, Baden-Württemberg) [08116019]",Aichwald,08116019,Esslingen am Neckar,Baden-Württemberg,Esslingen
"Aichwald (Esslingen, Baden-Württemberg) [08116076]",Aichwald,08116076,Aichwald,Baden-Württemberg,Esslingen
Aidenbach,Aidenbach,09275112,Aidenbach,Bayern,Passau
Aidhausen,Aidhausen,09674111,Aidhausen,Bayern,Haßberge
Aidlingen,Aidlingen,08115001,Aidlingen,Baden-Württemberg,Böblingen
Aiglsbach,Aiglsbach,09273113,Aiglsbach,Bayern,Kelheim
Ailertchen,Ailertchen,07143200,Ailertchen,Rheinland-Pfalz,Westerwaldkreis
Aindling,Aindling,09771114,Aindling,Bayern,Aichach-Friedberg
Ainring,Ainring,09172111,Ainring,Bayern,Berchtesgadener Land
Aislingen,Aislingen,09773111,Aislingen,Bayern,Dillingen a.d. Donau
Aiterhofen,Aiterhofen,09278113,Aiterhofen,Bayern,Straubing-Bogen
Aitern,Aitern,08336004,Aitern,Baden-Württemberg,Lörrach
Aitrach,Aitrach,08436004,Aitrach,Baden-Württemberg,Ravensburg
Aitrang,Aitrang,09777111,Aitrang,Bayern,Ostallgäu
Aken,Aken,15082005,Aken (Elbe),Sachsen-Anhalt,Anhalt-Bitterfeld
Albaching,Albaching,09187186,Albaching,Bayern,Rosenheim
Albbruck,Albbruck,08337002,Albbruck,Baden-Württemberg,Waldshut
"Albersdorf (Dithmarschen, Schleswig-Holstein)",Albersdorf,01051001,Albersdorf,Schleswig-Holstein,Dithmarschen
"Albersdorf (Saale-Holzland-Kreis, Thüringen)",Albersdorf,16074001,Albersdorf,Thüringen,Saale-Holzland-Kreis
Albershausen,Albershausen,08117003,Albershausen,Baden-Württemberg,Göppingen
Albersweiler,Albersweiler,07337001,Albersweiler,Rheinland-Pfalz,Südliche Weinstraße
Albertshofen,Albertshofen,09675112,Albertshofen,Bayern,Kitzingen
Albessen,Albessen,07336002,Albessen,Rheinland-Pfalz,Kusel
Albig,Albig,07331001,Albig,Rheinland-Pfalz,Alzey-Worms
Albisheim,Albisheim,07333001,Albisheim (Pfrimm),Rheinland-Pfalz,Donnersbergkreis
Albrechts,Albrechts,16054000,Suhl,Thüringen,Suhl
Albsfelde,Albsfelde,01053001,Albsfelde,Schleswig-Holstein,Herzogtum Lauenburg
Albstadt,Albstadt,08417079,Albstadt,Baden-Württemberg,Zollernalbkreis
Aldenhoven,Aldenhoven,05358004,Aldenhoven,Nordrhein-Westfalen,Düren
Aldersbach,Aldersbach,09275114,Aldersbach,Bayern,Passau
Aldingen,Aldingen,08327002,Aldingen,Baden-Württemberg,Tuttlingen
Alerheim,Alerheim,09779111,Alerheim,Bayern,Donau-Ries
Alesheim,Alesheim,09577113,Alesheim,Bayern,Weißenburg-Gunzenhausen
Aletshausen,Aletshausen,09774111,Aletshausen,Bayern,Günzburg
Alf,Alf,07135001,Alf,Rheinland-Pfalz,Cochem-Zell
Alfdorf,Alfdorf,08119001,Alfdorf,Baden-Württemberg,Rems-Murr-Kreis
"Alfeld (Hildesheim, Niedersachsen)",Alfeld,03254002,Alfeld (Leine),Niedersachsen,Hildesheim
"Alfeld (Nürnberger Land, Bayern)",Alfeld,09574111,Alfeld,Bayern,Nürnberger Land
Alfhausen,Alfhausen,03459001,Alfhausen,Niedersachsen,Osnabrück
Alflen,Alflen,07135002,Alflen,Rheinland-Pfalz,Cochem-Zell
Alfstedt,Alfstedt,03357002,Alfstedt,Niedersachsen,Rotenburg (Wümme)
"Alfter (Bonn, Nordrhein-Westfalen)",Alfter,05314000,Bonn,Nordrhein-Westfalen,Bonn
"Alfter (Rhein-Sieg-Kreis, Nordrhein-Westfalen)",Alfter,05382004,Alfter,Nordrhein-Westfalen,Rhein-Sieg-Kreis
Algermissen,Algermissen,03254003,Algermissen,Niedersachsen,Hildesheim
Alheim,Alheim,06632001,Alheim,Hessen,Hersfeld-Rotenburg
Alken,Alken,07137201,Alken,Rheinland-Pfalz,Mayen-Koblenz
Alkersleben,Alkersleben,16070001,Alkersleben,Thüringen,Ilm-Kreis
Alkersum,Alkersum,01054005,Alkersum,Schleswig-Holstein,Nordfriesland
Allenbach,Allenbach,07134003,Allenbach,Rheinland-Pfalz,Birkenfeld
"Allendorf (Gießen, Hessen)",Allendorf,06531001,Allendorf (Lumda),Hessen,Gießen
"Allendorf (Rhein-Lahn-Kreis, Rheinland-Pfalz)",Allendorf,07141001,Allendorf,Rheinland-Pfalz,Rhein-Lahn-Kreis
"Allendorf (Saalfeld-Rudolstadt, Thüringen)",Allendorf,16073001,Allendorf,Thüringen,Saalfeld-Rudolstadt
"Allendorf (Waldeck-Frankenberg, Hessen) [06635001]",Allendorf,06635001,Allendorf (Eder),Hessen,Waldeck-Frankenberg
"Allendorf (Waldeck-Frankenberg, Hessen) [06635005]",Allendorf,06635005,Bromskirchen,Hessen,Waldeck-Frankenberg
Allenfeld,Allenfeld,07133002,Allenfeld,Rheinland-Pfalz,Bad Kreuznach
Allensbach,Allensbach,08335002,Allensbach,Baden-Württemberg,Konstanz
"Allersberg (Neumarkt i.d. OPf., Bayern)",Allersberg,09373126,Freystadt,Bayern,Neumarkt i.d. OPf.
"Allersberg (Roth, Bayern)",Allersberg,09576113,Allersberg,Bayern,Roth
Allershausen,Allershausen,09178113,Allershausen,Bayern,Freising
Alleshausen,Alleshausen,08426005,Alleshausen,Baden-Württemberg,Biberach
Alling,Alling,09179113,Alling,Bayern,Fürstenfeldbruck
Allmannshofen,Allmannshofen,09772114,Allmannshofen,Bayern,Augsburg
Allmannsweiler,Allmannsweiler,08426006,Allmannsweiler,Baden-Württemberg,Biberach
Allmendingen,Allmendingen,08425002,Allmendingen,Baden-Württemberg,Alb-Donau-Kreis
Allmersbach,Allmersbach,08119003,Allmersbach im Tal,Baden-Württemberg,Rems-Murr-Kreis
Allstedt,Allstedt,15087015,Allstedt,Sachsen-Anhalt,Mansfeld-Südharz
Almdorf,Almdorf,01054006,Almdorf,Schleswig-Holstein,Nordfriesland
Almersbach,Almersbach,07132001,Almersbach,Rheinland-Pfalz,Altenkirchen (Westerwald)
"Alpen (Kleve, Nordrhein-Westfalen)",Alpen,05154020,Issum,Nordrhein-Westfalen,Kleve
"Alpen (Wesel, Nordrhein-Westfalen)",Alpen,05170004,Alpen,Nordrhein-Westfalen,Wesel
Alpenrod,Alpenrod,07143202,Alpenrod,Rheinland-Pfalz,Westerwaldkreis
Alperstedt,Alperstedt,16068001,Alperstedt,Thüringen,Sömmerda
Alpirsbach,Alpirsbach,08237002,Alpirsbach,Baden-Württemberg,Freudenstadt
Alsbach,Alsbach,07143001,Alsbach,Rheinland-Pfalz,Westerwaldkreis
Alsbach-Hähnlein,Alsbach-Hähnlein,06432001,Alsbach-Hähnlein,Hessen,Darmstadt-Dieburg
"Alsdorf (Altenkirchen (Westerwald), Rheinland-Pfalz)",Alsdorf,07132002,Alsdorf,Rheinland-Pfalz,Altenkirchen (Westerwald)
"Alsdorf (Eifelkreis Bitburg-Prüm, Rheinland-Pfalz)",Alsdorf,07232002,Alsdorf,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
"Alsdorf (Städteregion Aachen, Nordrhein-Westfalen)",Alsdorf,05334004,Alsdorf,Nordrhein-Westfalen,Städteregion Aachen
Alsenz,Alsenz,07333003,Alsenz,Rheinland-Pfalz,Donnersbergkreis
Alsfeld,Alsfeld,06535001,Alsfeld,Hessen,Vogelsbergkreis
Alsheim,Alsheim,07331002,Alsheim,Rheinland-Pfalz,Alzey-Worms
Alsleben,Alsleben,15089005,Alsleben (Saale),Sachsen-Anhalt,Salzlandkreis
Alt Bennebek,Alt Bennebek,01059001,Alt Bennebek,Schleswig-Holstein,Schleswig-Flensburg
Alt Bukow,Alt Bukow,13072002,Alt Bukow,Mecklenburg-Vorpommern,Rostock
Alt Duvenstedt,Alt Duvenstedt,01058003,Alt Duvenstedt,Schleswig-Holstein,Rendsburg-Eckernförde
Alt Krenzlin,Alt Krenzlin,13076001,Alt Krenzlin,Mecklenburg-Vorpommern,Ludwigslust-Parchim
Alt Meteln,Alt Meteln,13074001,Alt Meteln,Mecklenburg-Vorpommern,Nordwestmecklenburg
Alt Mölln,Alt Mölln,01053002,Alt Mölln,Schleswig-Holstein,Herzogtum Lauenburg
Alt Poorstorf,Alt Poorstorf,13074060,Passee,Mecklenburg-Vorpommern,Nordwestmecklenburg
Alt Ruppin,Alt Ruppin,12068320,Neuruppin,Brandenburg,Ostprignitz-Ruppin
Alt Schwerin,Alt Schwerin,13071001,Alt Schwerin,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
Alt Sührkow,Alt Sührkow,13072003,Alt Sührkow,Mecklenburg-Vorpommern,Rostock
Alt Tellin,Alt Tellin,13075002,Alt Tellin,Mecklenburg-Vorpommern,Vorpommern-Greifswald
Alt Tucheband,Alt Tucheband,12064009,Alt Tucheband,Brandenburg,Märkisch-Oderland
Alt Zachun,Alt Zachun,13076002,Alt Zachun,Mecklenburg-Vorpommern,Ludwigslust-Parchim
Alt Zauche-Wußwerk,Alt Zauche-Wußwerk,12061005,Alt Zauche-Wußwerk,Brandenburg,Dahme-Spreewald
Alt-Mölln,Alt-Mölln,01053002,Alt-Mölln,Schleswig-Holstein,Herzogtum Lauenburg
Altbach,Altbach,08116004,Altbach,Baden-Württemberg,Esslingen
"Altdorf (Böblingen, Baden-Württemberg)",Altdorf,08115002,Altdorf,Baden-Württemberg,Böblingen
"Altdorf (Esslingen, Baden-Württemberg)",Altdorf,08116005,Altdorf,Baden-Württemberg,Esslingen
"Altdorf (Landshut, Bayern) [09261000]",Altdorf,09261000,Landshut,Bayern,Landshut
"Altdorf (Landshut, Bayern) [09274113]",Altdorf,09274113,Altdorf,Bayern,Landshut
"Altdorf (Nürnberger Land, Bayern)",Altdorf,09574112,Altdorf b. Nürnberg,Bayern,Nürnberger Land
"Altdorf (Südliche Weinstraße, Rheinland-Pfalz)",Altdorf,07337002,Altdorf,Rheinland-Pfalz,Südliche Weinstraße
Altdöbern,Altdöbern,12066008,Altdöbern,Brandenburg,Oberspreewald-Lausitz
Altefähr,Altefähr,13073003,Altefähr,Mecklenburg-Vorpommern,Vorpommern-Rügen
Alteglofsheim,Alteglofsheim,09375113,Alteglofsheim,Bayern,Regensburg
Altena,Altena,05962004,Altena,Nordrhein-Westfalen,Märkischer Kreis
Altenahr,Altenahr,07131003,Altenahr,Rheinland-Pfalz,Ahrweiler
"Altenau (Elbe-Elster, Brandenburg)",Altenau,12062341,Mühlberg/Elbe,Brandenburg,Elbe-Elster
"Altenau (Goslar, Niedersachsen)",Altenau,03153018,Clausthal-Zellerfeld,Niedersachsen,Goslar
Altenbamberg,Altenbamberg,07133003,Altenbamberg,Rheinland-Pfalz,Bad Kreuznach
Altenbeken,Altenbeken,05774004,Altenbeken,Nordrhein-Westfalen,Paderborn
Altenberg,Altenberg,14628010,Altenberg,Sachsen,Sächsische Schweiz-Osterzgebirge
Altenberga,Altenberga,16074002,Altenberga,Thüringen,Saale-Holzland-Kreis
Altenberge,Altenberge,05566004,Altenberge,Nordrhein-Westfalen,Steinfurt
Altenbeuthen,Altenbeuthen,16073002,Altenbeuthen,Thüringen,Saalfeld-Rudolstadt
Altenbuch,Altenbuch,09676111,Altenbuch,Bayern,Miltenberg
Altenburg,Altenburg,16077001,Altenburg,Thüringen,Altenburger Land
Altendiez,Altendiez,07141002,Altendiez,Rheinland-Pfalz,Rhein-Lahn-Kreis
"Altendorf (Bamberg, Bayern)",Altendorf,09471111,Altendorf,Bayern,Bamberg
"Altendorf (Schwandorf, Bayern)",Altendorf,09376112,Altendorf,Bayern,Schwandorf
"Altendorf (Sächsische Schweiz-Osterzgebirge, Sachsen)",Altendorf,14628360,Sebnitz,Sachsen,Sächsische Schweiz-Osterzgebirge
Altenglan,Altenglan,07336003,Altenglan,Rheinland-Pfalz,Kusel
Altengottern,Altengottern,16064001,Altengottern,Thüringen,Unstrut-Hainich-Kreis
Altenhagen,Altenhagen,13071002,Altenhagen,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
Altenhausen,Altenhausen,15083020,Altenhausen,Sachsen-Anhalt,Börde
"Altenhof (Mecklenburgische Seenplatte, Mecklenburg-Vorpommern)",Altenhof,13071003,Altenhof,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
"Altenhof (Rendsburg-Eckernförde, Schleswig-Holstein)",Altenhof,01058004,Altenhof,Schleswig-Holstein,Rendsburg-Eckernförde
Altenholz,Altenholz,01058005,Altenholz,Schleswig-Holstein,Rendsburg-Eckernförde
"Altenkirchen (Altenkirchen (Westerwald), Rheinland-Pfalz)",Altenkirchen,07132501,Altenkirchen (Westerwald),Rheinland-Pfalz,Altenkirchen (Westerwald)
"Altenkirchen (Kusel, Rheinland-Pfalz)",Altenkirchen,07336004,Altenkirchen,Rheinland-Pfalz,Kusel
"Altenkirchen (Vorpommern-Rügen, Mecklenburg-Vorpommern)",Altenkirchen,13073004,Altenkirchen,Mecklenburg-Vorpommern,Vorpommern-Rügen
Altenkrempe,Altenkrempe,01055002,Altenkrempe,Schleswig-Holstein,Ostholstein
Altenkunstadt,Altenkunstadt,09478111,Altenkunstadt,Bayern,Lichtenfels
Altenmarkt,Altenmarkt,09189111,Altenmarkt a.d. Alz,Bayern,Traunstein
Altenmedingen,Altenmedingen,03360001,Altenmedingen,Niedersachsen,Uelzen
Altenmoor,Altenmoor,01061004,Altenmoor,Schleswig-Holstein,Steinburg
Altenmünster,Altenmünster,09772115,Altenmünster,Bayern,Augsburg
Altenpleen,Altenpleen,13073005,Altenpleen,Mecklenburg-Vorpommern,Vorpommern-Rügen
Altenriet,Altenriet,08116006,Altenriet,Baden-Württemberg,Esslingen
"Altenstadt (Neu-Ulm, Bayern)",Altenstadt,09775111,Altenstadt,Bayern,Neu-Ulm
"Altenstadt (Neustadt a.d. Waldnaab, Bayern)",Altenstadt,09374111,Altenstadt a.d. Waldnaab,Bayern,Neustadt a.d. Waldnaab
"Altenstadt (Weilheim-Schongau, Bayern)",Altenstadt,09190111,Altenstadt,Bayern,Weilheim-Schongau
"Altenstadt (Wetteraukreis, Hessen)",Altenstadt,06440001,Altenstadt,Hessen,Wetteraukreis
"Altensteig (Calw, Baden-Württemberg) [08235006]",Altensteig,08235006,Altensteig,Baden-Württemberg,Calw
"Altensteig (Calw, Baden-Württemberg) [08235020]",Altensteig,08235020,Ebhausen,Baden-Württemberg,Calw
Altenthann,Altenthann,09375114,Altenthann,Bayern,Regensburg
