label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
Groß Luckow,Groß Luckow,13075042,Groß Luckow,Mecklenburg-Vorpommern,Vorpommern-Greifswald
Groß Miltzow,Groß Miltzow,13071054,Groß Miltzow,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
"Groß Niendorf (Ludwigslust-Parchim, Mecklenburg-Vorpommern)",Groß Niendorf,13076162,Zölkow,Mecklenburg-Vorpommern,Ludwigslust-Parchim
"Groß Niendorf (Segeberg, Schleswig-Holstein)",Groß Niendorf,01060029,Groß Niendorf,Schleswig-Holstein,Segeberg
Groß Oesingen,Groß Oesingen,03151010,Groß Oesingen,Niedersachsen,Gifhorn
"Groß Pankow (Ostprignitz-Ruppin, Brandenburg)",Groß Pankow,12068181,Heiligengrabe,Brandenburg,Ostprignitz-Ruppin
"Groß Pankow (Prignitz, Brandenburg)",Groß Pankow,12070125,Groß Pankow (Prignitz),Brandenburg,Prignitz
Groß Rheide,Groß Rheide,01059035,Groß Rheide,Schleswig-Holstein,Schleswig-Flensburg
Groß Santersleben,Groß Santersleben,15083298,Hohe Börde,Sachsen-Anhalt,Börde
Groß Schacksdorf-Simmersdorf,Groß Schacksdorf-Simmersdorf,12071076,Forst (Lausitz),Brandenburg,Spree-Neiße
Groß Schenkenberg,Groß Schenkenberg,01053044,Groß Schenkenberg,Schleswig-Holstein,Herzogtum Lauenburg
Groß Schwiesow,Groß Schwiesow,13072039,Groß Schwiesow,Mecklenburg-Vorpommern,Rostock
Groß Teetzleben,Groß Teetzleben,13071057,Groß Teetzleben,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
Groß Twülpstedt,Groß Twülpstedt,03154009,Groß Twülpstedt,Niedersachsen,Helmstedt
Groß Wittensee,Groß Wittensee,01058066,Groß Wittensee,Schleswig-Holstein,Rendsburg-Eckernförde
Groß Wüstenfelde,Groß Wüstenfelde,13072041,Groß Wüstenfelde,Mecklenburg-Vorpommern,Rostock
Groß-Bieberau,Groß-Bieberau,06432009,Groß-Bieberau,Hessen,Darmstadt-Dieburg
Groß-Umstadt,Groß-Umstadt,06432010,Groß-Umstadt,Hessen,Darmstadt-Dieburg
Großalmerode,Großalmerode,06636004,Großalmerode,Hessen,Werra-Meißner-Kreis
Großbardorf,Großbardorf,09673126,Großbardorf,Bayern,Rhön-Grabfeld
Großbeeren,Großbeeren,12072120,Großbeeren,Brandenburg,Teltow-Fläming
Großefehn,Großefehn,03452006,Großefehn,Niedersachsen,Aurich
Großenaspe,Großenaspe,01060027,Großenaspe,Schleswig-Holstein,Segeberg
Großenehrich,Großenehrich,16065084,Großenehrich,Thüringen,Kyffhäuserkreis
Großenkneten,Großenkneten,03458007,Großenkneten,Niedersachsen,Oldenburg
Großenrade,Großenrade,01051037,Großenrade,Schleswig-Holstein,Dithmarschen
Großenstein,Großenstein,16076023,Großenstein,Thüringen,Greiz
Großenwiehe,Großenwiehe,01059115,Großenwiehe,Schleswig-Holstein,Schleswig-Flensburg
Großerlach,Großerlach,08119024,Großerlach,Baden-Württemberg,Rems-Murr-Kreis
Großhabersdorf,Großhabersdorf,09573115,Großhabersdorf,Bayern,Fürth
Großharrie,Großharrie,01057024,Großharrie,Schleswig-Holstein,Plön
Großharthau-Schmiedefeld,Großharthau-Schmiedefeld,14625170,Großharthau,Sachsen,Bautzen
Großhartmannsdorf,Großhartmannsdorf,14522200,Großhartmannsdorf,Sachsen,Mittelsachsen
"Großheide (Aurich, Niedersachsen) [03452003]",Großheide,03452003,Berumbur,Niedersachsen,Aurich
"Großheide (Aurich, Niedersachsen) [03452007]",Großheide,03452007,Großheide,Niedersachsen,Aurich
Großkampenberg,Großkampenberg,07232229,Großkampenberg,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
Großneuhausen,Großneuhausen,16068019,Großneuhausen,Thüringen,Sömmerda
Großniedesheim,Großniedesheim,07338009,Großniedesheim,Rheinland-Pfalz,Rhein-Pfalz-Kreis
Großrinderfeld,Großrinderfeld,08128045,Großrinderfeld,Baden-Württemberg,Main-Tauber-Kreis
Großräschen,Großräschen,12066112,Großräschen,Brandenburg,Oberspreewald-Lausitz
Großröhrsdorf,Großröhrsdorf,14625200,Großröhrsdorf,Sachsen,Bautzen
Großrössen,Großrössen,12062128,Falkenberg/Elster,Brandenburg,Elbe-Elster
Großrückerswalde,Großrückerswalde,14521250,Großrückerswalde,Sachsen,Erzgebirgskreis
"Großschirma (Mittelsachsen, Sachsen) [14522180]",Großschirma,14522180,Freiberg,Sachsen,Mittelsachsen
"Großschirma (Mittelsachsen, Sachsen) [14522210]",Großschirma,14522210,Großschirma,Sachsen,Mittelsachsen
Großvargula,Großvargula,16064019,Großvargula,Thüringen,Unstrut-Hainich-Kreis
Großweitzschen,Großweitzschen,14522220,Großweitzschen,Sachsen,Mittelsachsen
Grundhof,Grundhof,01059118,Grundhof,Schleswig-Holstein,Schleswig-Flensburg
Gräfenberg,Gräfenberg,09474132,Gräfenberg,Bayern,Forchheim
"Gräfenhainichen (Dessau-Roßlau, Sachsen-Anhalt)",Gräfenhainichen,15001000,Dessau-Roßlau,Sachsen-Anhalt,Dessau-Roßlau
"Gräfenhainichen (Wittenberg, Sachsen-Anhalt)",Gräfenhainichen,15091110,Gräfenhainichen,Sachsen-Anhalt,Wittenberg
Grävenwiesbach,Grävenwiesbach,06434004,Grävenwiesbach,Hessen,Hochtaunuskreis
Gröbzig,Gröbzig,15082377,Südliches Anhalt,Sachsen-Anhalt,Anhalt-Bitterfeld
Gröditz,Gröditz,14627050,Gröditz,Sachsen,Meißen
Grömbach,Grömbach,08237032,Grömbach,Baden-Württemberg,Freudenstadt
Grömitz,Grömitz,01055016,Grömitz,Schleswig-Holstein,Ostholstein
Gröningen,Gröningen,15083245,Gröningen,Sachsen-Anhalt,Börde
Grünberg,Grünberg,06531006,Grünberg,Hessen,Gießen
"Gründau (Main-Kinzig-Kreis, Hessen) [06435010]",Gründau,06435010,Gelnhausen,Hessen,Main-Kinzig-Kreis
"Gründau (Main-Kinzig-Kreis, Hessen) [06435012]",Gründau,06435012,Gründau,Hessen,Main-Kinzig-Kreis
Grünendeich,Grünendeich,03359020,Grünendeich,Niedersachsen,Stade
Grünheide,Grünheide,12067201,Grünheide (Mark),Brandenburg,Oder-Spree
Grünow,Grünow,12073261,Grünow,Brandenburg,Uckermark
Grünsfeld,Grünsfeld,08128047,Grünsfeld,Baden-Württemberg,Main-Tauber-Kreis
Gudendorf,Gudendorf,01051039,Gudendorf,Schleswig-Holstein,Dithmarschen
Gudensberg,Gudensberg,06634007,Gudensberg,Hessen,Schwalm-Eder-Kreis
Gudow,Gudow,01053046,Gudow,Schleswig-Holstein,Herzogtum Lauenburg
Gumbsheim,Gumbsheim,07331035,Gumbsheim,Rheinland-Pfalz,Alzey-Worms
Gumtow,Gumtow,12070149,Gumtow,Brandenburg,Prignitz
Gundelfingen,Gundelfingen,08315047,Gundelfingen,Baden-Württemberg,Breisgau-Hochschwarzwald
Gundersheim,Gundersheim,07331024,Flomborn,Rheinland-Pfalz,Alzey-Worms
Gundersweiler,Gundersweiler,07333028,Gundersweiler,Rheinland-Pfalz,Donnersbergkreis
Guntersblum,Guntersblum,07339024,Guntersblum,Rheinland-Pfalz,Mainz-Bingen
Gunzenhausen,Gunzenhausen,09577136,Gunzenhausen,Bayern,Weißenburg-Gunzenhausen
Gusenburg,Gusenburg,07235036,Gusenburg,Rheinland-Pfalz,Trier-Saarburg
Gusow-Platkow,Gusow-Platkow,12064190,Gusow-Platkow,Brandenburg,Märkisch-Oderland
Gusterath,Gusterath,07235037,Gusterath,Rheinland-Pfalz,Trier-Saarburg
"Gutach (Emmendingen, Baden-Württemberg)",Gutach,08316014,Gutach im Breisgau,Baden-Württemberg,Emmendingen
"Gutach (Ortenaukreis, Baden-Württemberg)",Gutach,08317039,Gutach (Schwarzwaldbahn),Baden-Württemberg,Ortenaukreis
Gutenborn,Gutenborn,15084207,Gutenborn,Sachsen-Anhalt,Burgenlandkreis
Gutenstetten,Gutenstetten,09575128,Gutenstetten,Bayern,Neustadt a.d. Aisch-Bad Windsheim
Gutow,Gutow,13072044,Gutow,Mecklenburg-Vorpommern,Rostock
Gyhum,Gyhum,03357018,Gyhum,Niedersachsen,Rotenburg (Wümme)
Gädheim,Gädheim,09674139,Gädheim,Bayern,Haßberge
Gägelow,Gägelow,13074022,Gägelow,Mecklenburg-Vorpommern,Nordwestmecklenburg
Gödenroth,Gödenroth,07140042,Gödenroth,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
Göggingen,Göggingen,08136024,Göggingen,Baden-Württemberg,Ostalbkreis
Göhl,Göhl,01055014,Göhl,Schleswig-Holstein,Ostholstein
Gölenkamp,Gölenkamp,03456007,Gölenkamp,Niedersachsen,Grafschaft Bentheim
Göllheim,Göllheim,07333026,Göllheim,Rheinland-Pfalz,Donnersbergkreis
Göllnitz,Göllnitz,12062425,Sallgast,Brandenburg,Elbe-Elster
Gönnebek,Gönnebek,01060026,Gönnebek,Schleswig-Holstein,Segeberg
Göpfersdorf,Göpfersdorf,16077011,Göpfersdorf,Thüringen,Altenburger Land
Görgeshausen,Görgeshausen,07143023,Görgeshausen,Rheinland-Pfalz,Westerwaldkreis
Göritz,Göritz,12073216,Göritz,Brandenburg,Uckermark
Görlitz,Görlitz,14626110,Görlitz,Sachsen,Görlitz
Görmin,Görmin,13075036,Görmin,Mecklenburg-Vorpommern,Vorpommern-Greifswald
Görwihl,Görwihl,08337038,Görwihl,Baden-Württemberg,Waldshut
Göttingen,Göttingen,03159016,Göttingen,Niedersachsen,Göttingen
Gülzow-Prüzen,Gülzow-Prüzen,13072042,Gülzow-Prüzen,Mecklenburg-Vorpommern,Rostock
Günstedt,Günstedt,16068022,Günstedt,Thüringen,Sömmerda
Güntersleben,Güntersleben,09679142,Güntersleben,Bayern,Würzburg
Günzach,Günzach,09777138,Günzach,Bayern,Ostallgäu
Güsten,Güsten,15089165,Güsten,Sachsen-Anhalt,Salzlandkreis
Güstrow,Güstrow,13072043,Güstrow,Mecklenburg-Vorpommern,Rostock
Gütenbach,Gütenbach,08316042,Simonswald,Baden-Württemberg,Emmendingen
"Gütersloh (Bielefeld, Nordrhein-Westfalen)",Gütersloh,05711000,Bielefeld,Nordrhein-Westfalen,Bielefeld
"Gütersloh (Gütersloh, Nordrhein-Westfalen)",Gütersloh,05754008,Gütersloh,Nordrhein-Westfalen,Gütersloh
Habscheid,Habscheid,07232231,Habscheid,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
Hagebök,Hagebök,13074056,Neuburg,Mecklenburg-Vorpommern,Nordwestmecklenburg
"Hagen (Cuxhaven, Niedersachsen)",Hagen,03352060,Hagen im Bremischen,Niedersachsen,Cuxhaven
"Hagen (Hagen, Nordrhein-Westfalen)",Hagen,05914000,Hagen,Nordrhein-Westfalen,Hagen
Hagenburg,Hagenburg,03257010,Hagenburg,Niedersachsen,Schaumburg
Hagenbüchach,Hagenbüchach,09575129,Hagenbüchach,Bayern,Neustadt a.d. Aisch-Bad Windsheim
"Hagermarsch (Aurich, Niedersachsen) [03452008]",Hagermarsch,03452008,Hage,Niedersachsen,Aurich
"Hagermarsch (Aurich, Niedersachsen) [03452009]",Hagermarsch,03452009,Hagermarsch,Niedersachsen,Aurich
"Hahn (Westerwaldkreis, Rheinland-Pfalz) [07143220]",Hahn,07143220,Ettinghausen,Rheinland-Pfalz,Westerwaldkreis
"Hahn (Westerwaldkreis, Rheinland-Pfalz) [07143232]",Hahn,07143232,Hahn am See,Rheinland-Pfalz,Westerwaldkreis
Hahnweiler,Hahnweiler,07134033,Hahnweiler,Rheinland-Pfalz,Birkenfeld
Haidmühle,Haidmühle,09272122,Haidmühle,Bayern,Freyung-Grafenau
Haiger,Haiger,06532004,Breitscheid,Hessen,Lahn-Dill-Kreis
Haimhausen,Haimhausen,09174121,Haimhausen,Bayern,Dachau
Hainichen,Hainichen,14522230,Hainichen,Sachsen,Mittelsachsen
Hainrode,Hainrode,16062014,Hainrode/Hainleite,Thüringen,Nordhausen
Haiterbach,Haiterbach,08235032,Haiterbach,Baden-Württemberg,Calw
Hakenstedt,Hakenstedt,15083205,Erxleben,Sachsen-Anhalt,Börde
Halberstadt,Halberstadt,15085135,Halberstadt,Sachsen-Anhalt,Harz
Haldensleben,Haldensleben,15083270,Haldensleben,Sachsen-Anhalt,Börde
Haldenwang,Haldenwang,09780122,Haldenwang,Bayern,Oberallgäu
"Halenbeck-Rohlsdorf (Prignitz, Brandenburg) [12070096]",Halenbeck-Rohlsdorf,12070096,Gerdshagen,Brandenburg,Prignitz
"Halenbeck-Rohlsdorf (Prignitz, Brandenburg) [12070153]",Halenbeck-Rohlsdorf,12070153,Halenbeck-Rohlsdorf,Brandenburg,Prignitz
"Halle (Gütersloh, Nordrhein-Westfalen)",Halle,05754012,Halle (Westf.),Nordrhein-Westfalen,Gütersloh
"Halle (Halle (Saale), Sachsen-Anhalt)",Halle,15002000,Halle (Saale),Sachsen-Anhalt,Halle (Saale)
"Halle (Holzminden, Niedersachsen)",Halle,03255016,Halle,Niedersachsen,Holzminden
Hallenberg,Hallenberg,05958020,Hallenberg,Nordrhein-Westfalen,Hochsauerlandkreis
Hallschlag,Hallschlag,07233214,Hallschlag,Rheinland-Pfalz,Vulkaneifel
Halsbrücke,Halsbrücke,14522240,Halsbrücke,Sachsen,Mittelsachsen
Halsdorf,Halsdorf,07232045,Halsdorf,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
"Haltern am See (Recklinghausen, Nordrhein-Westfalen) [05562012]",Haltern am See,05562012,Dorsten,Nordrhein-Westfalen,Recklinghausen
"Haltern am See (Recklinghausen, Nordrhein-Westfalen) [05562016]",Haltern am See,05562016,Haltern am See,Nordrhein-Westfalen,Recklinghausen
Halver,Halver,05962012,Halver,Nordrhein-Westfalen,Märkischer Kreis
Halvesbostel,Halvesbostel,03353014,Halvesbostel,Niedersachsen,Harburg
Hambergen,Hambergen,03356003,Hambergen,Niedersachsen,Osterholz
Hambuch,Hambuch,07135038,Hambuch,Rheinland-Pfalz,Cochem-Zell
Hamburg,Hamburg,02000000,Hamburg,Hamburg,Hamburg
Hamdorf,Hamdorf,01058070,Hamdorf,Schleswig-Holstein,Rendsburg-Eckernförde
Hameln,Hameln,03252006,Hameln,Niedersachsen,Hameln-Pyrmont
Hamersen,Hamersen,03357019,Hamersen,Niedersachsen,Rotenburg (Wümme)
Hamm,Hamm,05915000,Hamm,Nordrhein-Westfalen,Hamm
"Hammelburg (Bad Kissingen, Bayern) [09672124]",Hammelburg,09672124,Fuchsstadt,Bayern,Bad Kissingen
"Hammelburg (Bad Kissingen, Bayern) [09672127]",Hammelburg,09672127,Hammelburg,Bayern,Bad Kissingen
Hamminkeln,Hamminkeln,05170012,Hamminkeln,Nordrhein-Westfalen,Wesel
Hamwarde,Hamwarde,01053050,Hamwarde,Schleswig-Holstein,Herzogtum Lauenburg
"Handewitt (Flensburg, Schleswig-Holstein)",Handewitt,01001000,Flensburg,Schleswig-Holstein,Flensburg
"Handewitt (Schleswig-Flensburg, Schleswig-Holstein)",Handewitt,01059183,Handewitt,Schleswig-Holstein,Schleswig-Flensburg
Handrup,Handrup,03454017,Handrup,Niedersachsen,Emsland
Hanerau-Hademarschen,Hanerau-Hademarschen,01058072,Hanerau-Hademarschen,Schleswig-Holstein,Rendsburg-Eckernförde
"Hangen-Weisheim (Alzey-Worms, Rheinland-Pfalz) [07331011]",Hangen-Weisheim,07331011,Hochborn,Rheinland-Pfalz,Alzey-Worms
"Hangen-Weisheim (Alzey-Worms, Rheinland-Pfalz) [07331039]",Hangen-Weisheim,07331039,Hangen-Weisheim,Rheinland-Pfalz,Alzey-Worms
Hankensbüttel,Hankensbüttel,03151011,Hankensbüttel,Niedersachsen,Gifhorn
Hannover,Hannover,03241001,Hannover,Niedersachsen,Region Hannover
"Hanstedt (Harburg, Niedersachsen)",Hanstedt,03353016,Hanstedt,Niedersachsen,Harburg
"Hanstedt (Uelzen, Niedersachsen)",Hanstedt,03360010,Hanstedt,Niedersachsen,Uelzen
Happurg,Happurg,09574128,Happurg,Bayern,Nürnberger Land
Hardebek,Hardebek,01060033,Hardebek,Schleswig-Holstein,Segeberg
Hardegsen,Hardegsen,03155005,Hardegsen,Niedersachsen,Northeim
Hardheim,Hardheim,08225032,Hardheim,Baden-Württemberg,Neckar-Odenwald-Kreis
Hardthausen,Hardthausen,08125111,Hardthausen am Kocher,Baden-Württemberg,Heilbronn
Haren,Haren,03454018,Haren (Ems),Niedersachsen,Emsland
Harmsdorf,Harmsdorf,01055020,Harmsdorf,Schleswig-Holstein,Ostholstein
Harpstedt,Harpstedt,03458008,Harpstedt,Niedersachsen,Oldenburg
Harrislee,Harrislee,01059120,Harrislee,Schleswig-Holstein,Schleswig-Flensburg
Harsdorf,Harsdorf,09477119,Harsdorf,Bayern,Kulmbach
Harsefeld,Harsefeld,03359023,Harsefeld,Niedersachsen,Stade
Harsewinkel,Harsewinkel,05754016,Harsewinkel,Nordrhein-Westfalen,Gütersloh
Harsleben,Harsleben,15085140,Harsleben,Sachsen-Anhalt,Harz
Harspelt,Harspelt,07232234,Harspelt,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
Harsum,Harsum,03254020,Harsum,Niedersachsen,Hildesheim
Hartenfels,Hartenfels,07143025,Hartenfels,Rheinland-Pfalz,Westerwaldkreis
Hartenholm,Hartenholm,01060034,Hartenholm,Schleswig-Holstein,Segeberg
Hartenstein,Hartenstein,14524090,Hartenstein,Sachsen,Zwickau
Harth-Pöllnitz,Harth-Pöllnitz,16076088,Harth-Pöllnitz,Thüringen,Greiz
Hartha,Hartha,14522250,Hartha,Sachsen,Mittelsachsen
Hartmannsgrün,Hartmannsgrün,14523430,Treuen,Sachsen,Vogtlandkreis
Hasbergen,Hasbergen,03459021,Hasbergen,Niedersachsen,Osnabrück
Hasborn,Hasborn,07231049,Hasborn,Rheinland-Pfalz,Bernkastel-Wittlich
Hasel,Hasel,08336034,Hasel,Baden-Württemberg,Lörrach
Haseloff,Haseloff,12069402,Mühlenfließ,Brandenburg,Potsdam-Mittelmark
Haselund,Haselund,01054041,Haselund,Schleswig-Holstein,Nordfriesland
Haselünne,Haselünne,03454019,Haselünne,Niedersachsen,Emsland
Hasenkrug,Hasenkrug,01060035,Hasenkrug,Schleswig-Holstein,Segeberg
Haserich,Haserich,07135039,Haserich,Rheinland-Pfalz,Cochem-Zell
Hasloh,Hasloh,01056021,Hasloh,Schleswig-Holstein,Pinneberg
Hassel,Hassel,03256010,Hassel (Weser),Niedersachsen,Nienburg (Weser)
Hasselbach,Hasselbach,07140046,Hasselbach,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
Hassendorf,Hassendorf,03357020,Hassendorf,Niedersachsen,Rotenburg (Wümme)
Hatten,Hatten,03458009,Hatten,Niedersachsen,Oldenburg
Hattgenstein,Hattgenstein,07134034,Hattgenstein,Rheinland-Pfalz,Birkenfeld
Hattingen,Hattingen,05954016,Hattingen,Nordrhein-Westfalen,Ennepe-Ruhr-Kreis
Hattorf,Hattorf,03159018,Hattorf am Harz,Niedersachsen,Göttingen
Hattstedtermarsch,Hattstedtermarsch,01054043,Hattstedtermarsch,Schleswig-Holstein,Nordfriesland
Hatzenbühl,Hatzenbühl,07334009,Hatzenbühl,Rheinland-Pfalz,Germersheim
Haundorf,Haundorf,09577138,Haundorf,Bayern,Weißenburg-Gunzenhausen
Haunetal,Haunetal,06632008,Haunetal,Hessen,Hersfeld-Rotenburg
"Hausach (Ortenaukreis, Baden-Württemberg) [08317039]",Hausach,08317039,Gutach (Schwarzwaldbahn),Baden-Württemberg,Ortenaukreis
"Hausach (Ortenaukreis, Baden-Württemberg) [08317041]",Hausach,08317041,Hausach,Baden-Württemberg,Ortenaukreis
Hausbay,Hausbay,07140047,Hausbay,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
Hauzenberg,Hauzenberg,09275126,Hauzenberg,Bayern,Passau
Havelberg,Havelberg,15090225,Havelberg,Sachsen-Anhalt,Stendal
Haverlah,Haverlah,03158016,Haverlah,Niedersachsen,Wolfenbüttel
Havetoft,Havetoft,01059037,Havetoft,Schleswig-Holstein,Schleswig-Flensburg
Havixbeck,Havixbeck,05558020,Havixbeck,Nordrhein-Westfalen,Coesfeld
Haßbergen,Haßbergen,03256011,Haßbergen,Niedersachsen,Nienburg (Weser)
Haßfurt,Haßfurt,09674147,Haßfurt,Bayern,Haßberge
Haßloch,Haßloch,07316000,Neustadt an der Weinstraße,Rheinland-Pfalz,Neustadt an der Weinstraße
Heckelberg-Brunow,Heckelberg-Brunow,12064205,Heckelberg-Brunow,Brandenburg,Märkisch-Oderland
"Heckhuscheid (Eifelkreis Bitburg-Prüm, Rheinland-Pfalz) [07232229]",Heckhuscheid,07232229,Großkampenberg,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
"Heckhuscheid (Eifelkreis Bitburg-Prüm, Rheinland-Pfalz) [07232236]",Heckhuscheid,07232236,Heckhuscheid,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
Hedeper,Hedeper,03158017,Hedeper,Niedersachsen,Wolfenbüttel
Hedwigenkoog,Hedwigenkoog,01051043,Hedwigenkoog,Schleswig-Holstein,Dithmarschen
Heede,Heede,03454020,Heede,Niedersachsen,Emsland
Heek,Heek,05554024,Heek,Nordrhein-Westfalen,Borken
Heemsen,Heemsen,03256007,Eystrup,Niedersachsen,Nienburg (Weser)
Hefersweiler,Hefersweiler,07336036,Hefersweiler,Rheinland-Pfalz,Kusel
Hehlen,Hehlen,03255017,Hehlen,Niedersachsen,Holzminden
Heide,Heide,01051044,Heide,Schleswig-Holstein,Dithmarschen
Heideblick,Heideblick,12061219,Heideblick,Brandenburg,Dahme-Spreewald
Heideland,Heideland,16074039,Heideland,Thüringen,Saale-Holzland-Kreis
Heiden,Heiden,05554028,Heiden,Nordrhein-Westfalen,Borken
Heidenau,Heidenau,03353018,Heidenau,Niedersachsen,Harburg
Heidenburg,Heidenburg,07231204,Heidenburg,Rheinland-Pfalz,Bernkastel-Wittlich
"Heidenheim (Heidenheim, Baden-Württemberg)",Heidenheim,08135019,Heidenheim an der Brenz,Baden-Württemberg,Heidenheim
"Heidenheim (Weißenburg-Gunzenhausen, Bayern)",Heidenheim,09577140,Heidenheim,Bayern,Weißenburg-Gunzenhausen
"Heidenrod (Rheingau-Taunus-Kreis, Hessen) [06439002]",Heidenrod,06439002,Bad Schwalbach,Hessen,Rheingau-Taunus-Kreis
"Heidenrod (Rheingau-Taunus-Kreis, Hessen) [06439005]",Heidenrod,06439005,Heidenrod,Hessen,Rheingau-Taunus-Kreis
Heidersdorf,Heidersdorf,14521280,Heidersdorf,Sachsen,Erzgebirgskreis
Heidmoor,Heidmoor,01060037,Heidmoor,Schleswig-Holstein,Segeberg
Heikendorf,Heikendorf,01057025,Heikendorf,Schleswig-Holstein,Plön
Heilenbach,Heilenbach,07232048,Heilenbach,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
Heiligengrabe,Heiligengrabe,12068181,Heiligengrabe,Brandenburg,Ostprignitz-Ruppin
Heiligenhafen,Heiligenhafen,01055021,Heiligenhafen,Schleswig-Holstein,Ostholstein
Heiligenmoschel,Heiligenmoschel,07335013,Heiligenmoschel,Rheinland-Pfalz,Kaiserslautern
Heiligenstadt,Heiligenstadt,09471142,Heiligenstadt i. OFr.,Bayern,Bamberg
Heilshoop,Heilshoop,01062032,Heilshoop,Schleswig-Holstein,Stormarn
Heimbach,Heimbach,05358012,Heimbach,Nordrhein-Westfalen,Düren
Heinersbrück,Heinersbrück,12071176,Heinersbrück,Brandenburg,Spree-Neiße
Heinkenborstel,Heinkenborstel,01058074,Heinkenborstel,Schleswig-Holstein,Rendsburg-Eckernförde
Heinsberg,Heinsberg,05370016,Heinsberg,Nordrhein-Westfalen,Heinsberg
Heinsdorfergrund,Heinsdorfergrund,14523150,Heinsdorfergrund,Sachsen,Vogtlandkreis
Heinzenbach,Heinzenbach,07140049,Heinzenbach,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
Heist,Heist,01056024,Heist,Schleswig-Holstein,Pinneberg
Helbedündorf,Helbedündorf,16065032,Helbedündorf,Thüringen,Kyffhäuserkreis
Helbra,Helbra,15087205,Helbra,Sachsen-Anhalt,Mansfeld-Südharz
Heldrungen,Heldrungen,16065033,Heldrungen,Thüringen,Kyffhäuserkreis
"Hellenthal (Euskirchen, Nordrhein-Westfalen) [05366012]",Hellenthal,05366012,Dahlem,Nordrhein-Westfalen,Euskirchen
"Hellenthal (Euskirchen, Nordrhein-Westfalen) [05366020]",Hellenthal,05366020,Hellenthal,Nordrhein-Westfalen,Euskirchen
Hellertshausen,Hellertshausen,07134037,Hellertshausen,Rheinland-Pfalz,Birkenfeld
Hellschen-Heringsand-Unterschaar,Hellschen-Heringsand-Unterschaar,01051045,Hellschen-Heringsand-Unterschaar,Schleswig-Holstein,Dithmarschen
Helmbrechts,Helmbrechts,09475136,Helmbrechts,Bayern,Hof
Helmstadt,Helmstadt,09679144,Helmstadt,Bayern,Würzburg
"Helmstedt (Helmstedt, Niedersachsen) [03154010]",Helmstedt,03154010,Helmstedt,Niedersachsen,Helmstedt
"Helmstedt (Helmstedt, Niedersachsen) [03154026]",Helmstedt,03154026,Wolsdorf,Niedersachsen,Helmstedt
"Helmstedt (Helmstedt, Niedersachsen) [03154028]",Helmstedt,03154028,Helmstedt,Niedersachsen,Helmstedt
"Helsa (Kassel, Hessen)",Helsa,06633012,Helsa,Hessen,Kassel
"Helsa (Werra-Meißner-Kreis, Hessen)",Helsa,06636200,Gutsbezirk Kaufunger Wald,Hessen,Werra-Meißner-Kreis
Helse,Helse,01051046,Helse,Schleswig-Holstein,Dithmarschen
Hemau,Hemau,09375148,Hemau,Bayern,Regensburg
Hemer,Hemer,05962016,Hemer,Nordrhein-Westfalen,Märkischer Kreis
Hemme,Hemme,01051047,Hemme,Schleswig-Holstein,Dithmarschen
Hemmersheim,Hemmersheim,09575130,Hemmersheim,Bayern,Neustadt a.d. Aisch-Bad Windsheim
"Hemmingen (Region Hannover, Niedersachsen) [03241001]",Hemmingen,03241001,Hannover,Niedersachsen,Region Hannover
"Hemmingen (Region Hannover, Niedersachsen) [03241007]",Hemmingen,03241007,Hemmingen,Niedersachsen,Region Hannover
Hemmingstedt,Hemmingstedt,01051048,Hemmingstedt,Schleswig-Holstein,Dithmarschen
Hemsloh,Hemsloh,03251019,Hemsloh,Niedersachsen,Diepholz
Hennstedt,Hennstedt,01051049,Hennstedt,Schleswig-Holstein,Dithmarschen
Herbolzheim,Herbolzheim,08316017,Herbolzheim,Baden-Württemberg,Emmendingen
Herbsleben,Herbsleben,16064022,Herbsleben,Thüringen,Unstrut-Hainich-Kreis
Herbstein,Herbstein,06535008,Herbstein,Hessen,Vogelsbergkreis
Herchweiler,Herchweiler,07336039,Herchweiler,Rheinland-Pfalz,Kusel
Herford,Herford,05758012,Herford,Nordrhein-Westfalen,Herford
Heringen,Heringen,06632009,Heringen (Werra),Hessen,Hersfeld-Rotenburg
Heringsdorf,Heringsdorf,01055022,Heringsdorf,Schleswig-Holstein,Ostholstein
Herl,Herl,07235044,Herl,Rheinland-Pfalz,Trier-Saarburg
Herleshausen,Herleshausen,06636005,Herleshausen,Hessen,Werra-Meißner-Kreis
Hermannsburg,Hermannsburg,03351026,Südheide,Niedersachsen,Celle
Hermersberg,Hermersberg,07340016,Hermersberg,Rheinland-Pfalz,Südwestpfalz
Hermeskeil,Hermeskeil,07235045,Hermeskeil,Rheinland-Pfalz,Trier-Saarburg
