label,Ort,Gemeindeschluessel,Gemeinde,Bundesland,Landkreis
Altenkirchen,Altenkirchen,13073004,Altenkirchen,Mecklenburg-Vorpommern,Vorpommern-Rügen
Altenkrempe,Altenkrempe,01055002,Altenkrempe,Schleswig-Holstein,Ostholstein
Altenmedingen,Altenmedingen,03360001,Altenmedingen,Niedersachsen,Uelzen
Altenthann,Altenthann,09375114,Altenthann,Bayern,Regensburg
Altentreptow,Altentreptow,13071004,Altentreptow,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
Alterkülz,Alterkülz,07140001,Alterkülz,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
Altertheim,Altertheim,09679165,Altertheim,Bayern,Würzburg
Altkalen,Altkalen,13072004,Altkalen,Mecklenburg-Vorpommern,Rostock
Altlandsberg,Altlandsberg,12064029,Altlandsberg,Brandenburg,Märkisch-Oderland
Altmannstein,Altmannstein,09176112,Altmannstein,Bayern,Eichstätt
Altmärkische Höhe,Altmärkische Höhe,15090007,Altmärkische Höhe,Sachsen-Anhalt,Stendal
Altomünster,Altomünster,09174111,Altomünster,Bayern,Dachau
Altusried,Altusried,09780112,Altusried,Bayern,Oberallgäu
Altweidelbach,Altweidelbach,07140002,Altweidelbach,Rheinland-Pfalz,Rhein-Hunsrück-Kreis
Altwigshagen,Altwigshagen,13075004,Altwigshagen,Mecklenburg-Vorpommern,Vorpommern-Greifswald
Alveslohe,Alveslohe,01060002,Alveslohe,Schleswig-Holstein,Segeberg
Alzey,Alzey,07331003,Alzey,Rheinland-Pfalz,Alzey-Worms
Am Ettersberg,Am Ettersberg,16071102,Am Ettersberg,Thüringen,Weimarer Land
Am Großen Bruch,Am Großen Bruch,15083025,Am Großen Bruch,Sachsen-Anhalt,Börde
Am Mellensee,Am Mellensee,12072002,Am Mellensee,Brandenburg,Teltow-Fläming
Am Salzhaff,Am Salzhaff,13072005,Am Salzhaff,Mecklenburg-Vorpommern,Rostock
Amelinghausen,Amelinghausen,03355002,Amelinghausen,Niedersachsen,Lüneburg
Amstetten,Amstetten,08425008,Amstetten,Baden-Württemberg,Alb-Donau-Kreis
Amt Creuzburg,Amt Creuzburg,16063104,Amt Creuzburg,Thüringen,Wartburgkreis
Amtsberg,Amtsberg,14521010,Amtsberg,Sachsen,Erzgebirgskreis
Amöneburg,Amöneburg,06534001,Amöneburg,Hessen,Marburg-Biedenkopf
An der Poststraße,An der Poststraße,15084012,An der Poststraße,Sachsen-Anhalt,Burgenlandkreis
An der Schmücke,An der Schmücke,16065052,Oberheldrungen,Thüringen,Kyffhäuserkreis
Anderlingen,Anderlingen,03357003,Anderlingen,Niedersachsen,Rotenburg (Wümme)
Andervenne,Andervenne,03454001,Andervenne,Niedersachsen,Emsland
Angelburg,Angelburg,06534002,Angelburg,Hessen,Marburg-Biedenkopf
Angermünde,Angermünde,12073008,Angermünde,Brandenburg,Uckermark
Anklam,Anklam,13075005,Anklam,Mecklenburg-Vorpommern,Vorpommern-Greifswald
Ankum,Ankum,03459002,Ankum,Niedersachsen,Osnabrück
"Annaburg (Nordsachsen, Sachsen)",Annaburg,14730030,Beilrode,Sachsen,Nordsachsen
"Annaburg (Wittenberg, Sachsen-Anhalt)",Annaburg,15091010,Annaburg,Sachsen-Anhalt,Wittenberg
Anrode,Anrode,16064073,Anrode,Thüringen,Unstrut-Hainich-Kreis
Anröchte,Anröchte,05974004,Anröchte,Nordrhein-Westfalen,Soest
Ansbach,Ansbach,09561000,Ansbach,Bayern,Ansbach
Antrifttal,Antrifttal,06535002,Antrifttal,Hessen,Vogelsbergkreis
Apelern,Apelern,03257002,Apelern,Niedersachsen,Schaumburg
Apen,Apen,03451001,Apen,Niedersachsen,Ammerland
Apensen,Apensen,03359003,Apensen,Niedersachsen,Stade
Apfeltrach,Apfeltrach,09778113,Apfeltrach,Bayern,Unterallgäu
Apolda,Apolda,16071001,Apolda,Thüringen,Weimarer Land
Appel,Appel,03353001,Appel,Niedersachsen,Harburg
Arendsee,Arendsee,15081030,Arendsee (Altmark),Sachsen-Anhalt,Altmarkkreis Salzwedel
Argenbühl,Argenbühl,08436094,Argenbühl,Baden-Württemberg,Ravensburg
Arlewatt,Arlewatt,01054007,Arlewatt,Schleswig-Holstein,Nordfriesland
Armstedt,Armstedt,01060003,Armstedt,Schleswig-Holstein,Segeberg
Arneburg,Arneburg,15090010,Arneburg,Sachsen-Anhalt,Stendal
Arnsberg,Arnsberg,05958004,Arnsberg,Nordrhein-Westfalen,Hochsauerlandkreis
Arnshöfen,Arnshöfen,07143203,Arnshöfen,Rheinland-Pfalz,Westerwaldkreis
"Arnstein (Harz, Sachsen-Anhalt)",Arnstein,15085110,Falkenstein/Harz,Sachsen-Anhalt,Harz
"Arnstein (Main-Spessart, Bayern)",Arnstein,09677114,Arnstein,Bayern,Main-Spessart
"Arnstein (Mansfeld-Südharz, Sachsen-Anhalt)",Arnstein,15087031,Arnstein,Sachsen-Anhalt,Mansfeld-Südharz
"Artern (Kyffhäuserkreis, Thüringen) [16065002]",Artern,16065002,Artern/Unstrut,Thüringen,Kyffhäuserkreis
"Artern (Kyffhäuserkreis, Thüringen) [16065086]",Artern,16065086,Artern/Unstrut,Thüringen,Kyffhäuserkreis
"Artern (Saalekreis, Sachsen-Anhalt)",Artern,15088305,Querfurt,Sachsen-Anhalt,Saalekreis
Artlenburg,Artlenburg,03355003,Artlenburg,Niedersachsen,Lüneburg
"Arzberg (Tirschenreuth, Bayern)",Arzberg,09377131,Konnersreuth,Bayern,Tirschenreuth
"Arzberg (Wunsiedel i. Fichtelgebirge, Bayern)",Arzberg,09479112,Arzberg,Bayern,Wunsiedel i. Fichtelgebirge
Arzfeld,Arzfeld,07232201,Arzfeld,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm
Ascheberg,Ascheberg,05558004,Ascheberg,Nordrhein-Westfalen,Coesfeld
"Aschersleben (Salzlandkreis, Sachsen-Anhalt) [15089005]",Aschersleben,15089005,Alsleben (Saale),Sachsen-Anhalt,Salzlandkreis
"Aschersleben (Salzlandkreis, Sachsen-Anhalt) [15089015]",Aschersleben,15089015,Aschersleben,Sachsen-Anhalt,Salzlandkreis
Aschheim,Aschheim,09184112,Aschheim,Bayern,München
Asendorf,Asendorf,03251002,Asendorf,Niedersachsen,Diepholz
Asperg,Asperg,08118003,Asperg,Baden-Württemberg,Ludwigsburg
Attendorn,Attendorn,05966004,Attendorn,Nordrhein-Westfalen,Olpe
Aub,Aub,09679114,Aub,Bayern,Würzburg
"Auerbach (Amberg-Sulzbach, Bayern)",Auerbach,09371113,Auerbach i.d. OPf.,Bayern,Amberg-Sulzbach
"Auerbach (Erzgebirgskreis, Sachsen)",Auerbach,14521040,Auerbach,Sachsen,Erzgebirgskreis
"Auerbach (Vogtlandkreis, Sachsen)",Auerbach,14523020,Auerbach/Vogtl.,Sachsen,Vogtlandkreis
Auetal,Auetal,03257003,Auetal,Niedersachsen,Schaumburg
Aukrug,Aukrug,01058009,Aukrug,Schleswig-Holstein,Rendsburg-Eckernförde
Auma-Weidatal,Auma-Weidatal,16076092,Auma-Weidatal,Thüringen,Greiz
Aurach,Aurach,09571114,Aurach,Bayern,Ansbach
Aurich,Aurich,03452001,Aurich,Niedersachsen,Aurich
Ausacker,Ausacker,01059103,Ausacker,Schleswig-Holstein,Schleswig-Flensburg
Ausleben,Ausleben,15083035,Ausleben,Sachsen-Anhalt,Börde
Aventoft,Aventoft,01054009,Aventoft,Schleswig-Holstein,Nordfriesland
Averlak,Averlak,01051003,Averlak,Schleswig-Holstein,Dithmarschen
Aying,Aying,09184137,Aying,Bayern,München
Aßlar,Aßlar,06532001,Aßlar,Hessen,Lahn-Dill-Kreis
Baar,Baar,09771176,Baar (Schwaben),Bayern,Aichach-Friedberg
Baben,Baben,15090135,Eichstedt (Altmark),Sachsen-Anhalt,Stendal
Babst,Babst,13074023,Glasin,Mecklenburg-Vorpommern,Nordwestmecklenburg
Bad Arolsen,Bad Arolsen,06635002,Bad Arolsen,Hessen,Waldeck-Frankenberg
Bad Bentheim,Bad Bentheim,03456001,Bad Bentheim,Niedersachsen,Grafschaft Bentheim
"Bad Berleburg (Hochsauerlandkreis, Nordrhein-Westfalen)",Bad Berleburg,05958020,Hallenberg,Nordrhein-Westfalen,Hochsauerlandkreis
"Bad Berleburg (Siegen-Wittgenstein, Nordrhein-Westfalen)",Bad Berleburg,05970004,Bad Berleburg,Nordrhein-Westfalen,Siegen-Wittgenstein
Bad Berneck,Bad Berneck,09472116,Bad Berneck i. Fichtelgebirge,Bayern,Bayreuth
