year,caps,grid,nuts,val
2030,5,LV1,DE111,0.0
2030,5,LV1,DE112,0.0
2030,5,LV1,DE113,0.0
2030,5,LV1,DE114,3.3585103637457025e-06
2030,5,LV1,DE115,0.0
2030,5,LV1,DE116,0.0
2030,5,LV1,DE117,0.0
2030,5,LV1,DE118,0.0
2030,5,LV1,DE119,6.567793130593747e-06
2030,5,LV1,DE11A,1.6781300677236568e-05
2030,5,LV1,DE11B,1.0070970000439178e-05
2030,5,LV1,DE11C,2.370976176979378e-06
2030,5,LV1,DE11D,1.4583529212106116e-05
2030,5,LV1,DE121,0.0
2030,5,LV1,DE122,0.0
2030,5,LV1,DE123,3.800327351542622e-06
2030,5,LV1,DE124,2.9970572014047464e-06
2030,5,LV1,DE125,0.0
2030,5,LV1,DE126,0.0
2030,5,LV1,DE127,1.9206431985343657e-05
2030,5,LV1,DE128,9.441637797277533e-06
2030,5,LV1,DE129,0.0
2030,5,LV1,DE12A,0.0
2030,5,LV1,DE12B,0.0
2030,5,LV1,DE12C,0.0
2030,5,LV1,DE131,0.0
2030,5,LV1,DE132,8.199487490652369e-06
2030,5,LV1,DE133,0.0
2030,5,LV1,DE134,1.1419783257843523e-05
2030,5,LV1,DE135,7.101851914339839e-06
2030,5,LV1,DE136,8.664352781044478e-06
2030,5,LV1,DE137,1.1789529656475666e-05
2030,5,LV1,DE138,8.083793675416201e-06
2030,5,LV1,DE139,1.0829243984893552e-05
2030,5,LV1,DE13A,9.313777364359858e-06
2030,5,LV1,DE141,3.219025979209639e-06
2030,5,LV1,DE142,0.0
2030,5,LV1,DE143,6.126780571007491e-06
2030,5,LV1,DE144,0.0
2030,5,LV1,DE145,1.2724585382169708e-05
2030,5,LV1,DE146,1.6070102295090947e-05
2030,5,LV1,DE147,0.0
2030,5,LV1,DE148,2.34909296116697e-05
2030,5,LV1,DE149,3.793840032915575e-06
2030,5,LV1,DE211,0.0
2030,5,LV1,DE212,0.0
2030,5,LV1,DE213,0.0
2030,5,LV1,DE214,1.7488251207477738e-05
2030,5,LV1,DE215,5.890280555131308e-06
2030,5,LV1,DE216,1.99593485922361e-05
2030,5,LV1,DE217,7.506079884163255e-06
2030,5,LV1,DE218,1.264813811271344e-05
2030,5,LV1,DE219,2.6131965730260142e-05
2030,5,LV1,DE21A,2.0307393463784243e-05
2030,5,LV1,DE21B,2.373553458783751e-05
2030,5,LV1,DE21C,1.9939175573245873e-05
2030,5,LV1,DE21D,1.6799485056512005e-05
2030,5,LV1,DE21E,3.0057400911126136e-05
2030,5,LV1,DE21F,1.2043199754493735e-05
2030,5,LV1,DE21G,2.1542315261511007e-05
2030,5,LV1,DE21H,4.705390427905954e-06
2030,5,LV1,DE21I,1.9755093280031912e-05
2030,5,LV1,DE21J,1.2060926730605048e-05
2030,5,LV1,DE21K,3.6024005124800127e-05
2030,5,LV1,DE21L,7.845571240245192e-06
2030,5,LV1,DE21M,3.265818149312699e-05
2030,5,LV1,DE21N,2.6374941142215364e-05
2030,5,LV1,DE221,0.0
2030,5,LV1,DE222,0.0
2030,5,LV1,DE223,0.0
2030,5,LV1,DE224,2.2223582751348876e-05
2030,5,LV1,DE225,1.9306607363142274e-05
2030,5,LV1,DE226,1.281615658790959e-05
2030,5,LV1,DE227,2.779855803447893e-05
2030,5,LV1,DE228,3.0217637950457904e-05
2030,5,LV1,DE229,1.7933012711677383e-05
2030,5,LV1,DE22A,2.2821662741452043e-05
2030,5,LV1,DE22B,2.784486722298894e-05
2030,5,LV1,DE22C,1.4621322787097308e-05
2030,5,LV1,DE231,0.0
2030,5,LV1,DE232,0.0
2030,5,LV1,DE233,7.097483239294826e-07
2030,5,LV1,DE234,2.2143858967630044e-05
2030,5,LV1,DE235,2.9781194430232224e-05
2030,5,LV1,DE236,1.5405571701882262e-05
2030,5,LV1,DE237,2.2853080482568604e-05
2030,5,LV1,DE238,2.5417910468731323e-05
2030,5,LV1,DE239,1.4445316423045146e-05
2030,5,LV1,DE23A,1.430801832780626e-05
2030,5,LV1,DE241,0.0
2030,5,LV1,DE242,0.0
2030,5,LV1,DE243,0.0
2030,5,LV1,DE244,0.0
2030,5,LV1,DE245,2.5765437176220397e-05
2030,5,LV1,DE246,2.0916532154875915e-05
2030,5,LV1,DE247,1.7204638243035208e-05
2030,5,LV1,DE248,2.325848089031649e-05
2030,5,LV1,DE249,1.885237307647257e-05
2030,5,LV1,DE24A,1.5061131362464394e-05
2030,5,LV1,DE24B,1.7194650069970766e-05
2030,5,LV1,DE24C,6.189662101575712e-06
2030,5,LV1,DE24D,1.1673638451078133e-05
2030,5,LV1,DE251,0.0
2030,5,LV1,DE252,2.0191175625790235e-06
2030,5,LV1,DE253,0.0
2030,5,LV1,DE254,0.0
2030,5,LV1,DE255,1.9391331883800864e-06
2030,5,LV1,DE256,3.906768360108934e-05
2030,5,LV1,DE257,1.787513005674394e-05
2030,5,LV1,DE258,6.9330388723024e-06
2030,5,LV1,DE259,1.97537418237871e-05
2030,5,LV1,DE25A,2.125938546254546e-05
2030,5,LV1,DE25B,6.387785968742154e-06
2030,5,LV1,DE25C,1.7069123775607238e-05
2030,5,LV1,DE261,0.0
2030,5,LV1,DE262,0.0
2030,5,LV1,DE263,0.0
2030,5,LV1,DE264,2.357621684690819e-05
2030,5,LV1,DE265,1.7522797911520845e-05
2030,5,LV1,DE266,2.2130130525758872e-05
2030,5,LV1,DE267,1.425997827690618e-05
2030,5,LV1,DE268,2.18011648953826e-05
2030,5,LV1,DE269,2.7376748726692947e-05
2030,5,LV1,DE26A,2.1926190827347074e-05
2030,5,LV1,DE26B,2.1354103692615454e-05
2030,5,LV1,DE26C,3.950035193638113e-05
2030,5,LV1,DE271,0.0
2030,5,LV1,DE272,0.0
2030,5,LV1,DE273,0.0
2030,5,LV1,DE274,0.0
2030,5,LV1,DE275,1.3943921986945592e-05
2030,5,LV1,DE276,3.492230066344667e-05
2030,5,LV1,DE277,1.0069355499042789e-05
2030,5,LV1,DE278,2.097394948576238e-05
2030,5,LV1,DE279,7.264264666128638e-06
2030,5,LV1,DE27A,1.6713276433113068e-05
2030,5,LV1,DE27B,2.84860548026121e-05
2030,5,LV1,DE27C,2.897743163336753e-05
2030,5,LV1,DE27D,2.0660882356385584e-05
2030,5,LV1,DE27E,2.0840417007300856e-05
2030,5,LV1,DE300,0.0
2030,5,LV1,DE401,5.228800399848378e-06
2030,5,LV1,DE402,0.0
2030,5,LV1,DE403,0.0
2030,5,LV1,DE404,0.0
2030,5,LV1,DE405,7.598433925426264e-06
2030,5,LV1,DE406,1.2389784868484813e-05
2030,5,LV1,DE407,1.5658059369430922e-05
2030,5,LV1,DE408,6.594910209337202e-06
2030,5,LV1,DE409,1.4845900309133505e-05
2030,5,LV1,DE40A,2.1499794664013225e-06
2030,5,LV1,DE40B,6.267858812500307e-06
2030,5,LV1,DE40C,2.3882923114051283e-05
2030,5,LV1,DE40D,9.330023055047411e-06
2030,5,LV1,DE40E,1.3299925794587274e-05
2030,5,LV1,DE40F,4.850738136655645e-06
2030,5,LV1,DE40G,1.082787936480974e-05
2030,5,LV1,DE40H,4.641986235475196e-06
2030,5,LV1,DE40I,1.2687904829416875e-05
2030,5,LV1,DE501,0.0
2030,5,LV1,DE502,0.0
2030,5,LV1,DE600,4.645131600105341e-06
2030,5,LV1,DE711,0.0
2030,5,LV1,DE712,0.0
2030,5,LV1,DE713,0.0
2030,5,LV1,DE714,0.0
2030,5,LV1,DE715,1.0470788886860362e-05
2030,5,LV1,DE716,6.422168311155914e-06
2030,5,LV1,DE717,0.0
2030,5,LV1,DE718,0.0
2030,5,LV1,DE719,9.516102638735537e-06
2030,5,LV1,DE71A,0.0
2030,5,LV1,DE71B,4.418279150871718e-06
2030,5,LV1,DE71C,0.0
2030,5,LV1,DE71D,4.57733747429491e-06
2030,5,LV1,DE71E,7.4293203821395595e-06
2030,5,LV1,DE721,2.080429174813506e-06
2030,5,LV1,DE722,1.2971990422953806e-05
2030,5,LV1,DE723,7.611706740514965e-06
2030,5,LV1,DE724,1.0282379467287866e-05
2030,5,LV1,DE725,1.6957154209746935e-05
2030,5,LV1,DE731,0.0
2030,5,LV1,DE732,1.7246010812357283e-05
