flex,year,run,h,val
baseFlex,2030,NoFlexNoConstraints,h0106,910.0465
baseFlex,2030,NoFlexNoConstraints,h0107,1519.009
baseFlex,2030,NoFlexNoConstraints,h0108,2668.0371
baseFlex,2030,NoFlexNoConstraints,h0109,3662.7317
baseFlex,2030,NoFlexNoConstraints,h0110,4781.9375
baseFlex,2030,NoFlexNoConstraints,h0111,5166.2816
baseFlex,2030,NoFlexNoConstraints,h0112,6803.0849
baseFlex,2030,NoFlexNoConstraints,h0113,8444.1927
baseFlex,2030,NoFlexNoConstraints,h0114,9520.7742
baseFlex,2030,NoFlexNoConstraints,h0115,9095.0963
baseFlex,2030,NoFlexNoConstraints,h0116,8128.9273
baseFlex,2030,NoFlexNoConstraints,h0117,5574.252
baseFlex,2030,NoFlexNoConstraints,h0118,3865.9335
baseFlex,2030,NoFlexNoConstraints,h0119,2792.5368
baseFlex,2030,NoFlexNoConstraints,h0120,2192.8057
baseFlex,2030,NoFlexNoConstraints,h0121,57.0094
baseFlex,2030,NoFlexNoConstraints,h0122,155.3963
baseFlex,2030,NoFlexNoConstraints,h0123,81.3417
baseFlex,2030,NoFlexNoConstraints,h0124,49.4442
baseFlex,2030,NoFlexNoConstraints,h0125,34.7588
baseFlex,2030,NoFlexNoConstraints,h0126,0.0
baseFlex,2030,NoFlexNoConstraints,h0127,272.178
baseFlex,2030,NoFlexNoConstraints,h0128,221.4648
baseFlex,2030,NoFlexNoConstraints,h0129,487.1139
baseFlex,2030,NoFlexNoConstraints,h0130,1087.557
baseFlex,2030,NoFlexNoConstraints,h0131,1986.9132
baseFlex,2030,NoFlexNoConstraints,h0132,2627.5864
baseFlex,2030,NoFlexNoConstraints,h0133,4192.2155
baseFlex,2030,NoFlexNoConstraints,h0134,5149.1515
baseFlex,2030,NoFlexNoConstraints,h0135,4928.9177
baseFlex,2030,NoFlexNoConstraints,h0136,6104.3279
baseFlex,2030,NoFlexNoConstraints,h0137,8508.7015
baseFlex,2030,NoFlexNoConstraints,h0138,9859.9219
baseFlex,2030,NoFlexNoConstraints,h0139,10249.1643
baseFlex,2030,NoFlexNoConstraints,h0140,7452.86
baseFlex,2030,NoFlexNoConstraints,h0141,4890.0625
baseFlex,2030,NoFlexNoConstraints,h0142,3467.3735
baseFlex,2030,NoFlexNoConstraints,h0143,2945.9016
baseFlex,2030,NoFlexNoConstraints,h0144,2558.3489
baseFlex,2030,NoFlexNoConstraints,h0145,15.7981
baseFlex,2030,NoFlexNoConstraints,h0146,0.0
baseFlex,2030,NoFlexNoConstraints,h0147,0.0
baseFlex,2030,NoFlexNoConstraints,h0148,16.834
baseFlex,2030,NoFlexNoConstraints,h0149,4.8788
baseFlex,2030,NoFlexNoConstraints,h0150,42.9155
baseFlex,2030,NoFlexNoConstraints,h0151,168.7646
baseFlex,2030,NoFlexNoConstraints,h0152,175.4564
baseFlex,2030,NoFlexNoConstraints,h0153,444.0475
baseFlex,2030,NoFlexNoConstraints,h0154,978.6441
baseFlex,2030,NoFlexNoConstraints,h0155,1856.329
